2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Breathe - Faith Hill,Hanging by a Moment - Lifehouse,How You Remind Me - Nickelback,In da Club - 50 Cent,Yeah! - Usher featuring Lil Jon and Ludacris,We Belong Together - Mariah Carey,Bad Day - Daniel Powter,Irreplaceable - Beyoncé,Low - Flo Rida featuring T-Pain,Boom Boom Pow - The Black Eyed Peas,Tik Tok - Ke$ha,Rolling in the Deep - Adele,Somebody That I Used to Know - Gotye featuring Kimbra,Thrift Shop - Macklemore and Ryan Lewis featuring Wanz,Happy - Pharrell Williams
Smooth - Santana featuring Rob Thomas,Fallin' - Alicia Keys,Foolish - Ashanti,Ignition (Remix) - R. Kelly,Burn - Usher,Hollaback Girl - Gwen Stefani,Temperature - Sean Paul,Umbrella - Rihanna featuring Jay-Z,Bleeding Love - Leona Lewis,Poker Face - Lady Gaga,Need You Now - Lady Antebellum,Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock,Call Me Maybe - Carly Rae Jepsen,Blurred Lines - Robin Thicke featuring T.I. and Pharrell Williams,Dark Horse - Katy Perry featuring Juicy J
Maria Maria - Santana featuring The Product G&B,All for You - Janet,Hot in Herre - Nelly,Get Busy - Sean Paul,If I Ain't Got You - Alicia Keys,Let Me Love You - Mario,Promiscuous - Nelly Furtado featuring Timbaland,The Sweet Escape - Gwen Stefani featuring Akon,No One - Alicia Keys,Just Dance - Lady Gaga featuring Colby O'Donis,Hey Soul Sister - Train,Firework - Katy Perry,We Are Young - fun. featuring Janelle Monáe,Radioactive - Imagine Dragons,All of Me - John Legend
I Wanna Know - Joe,Drops of Jupiter (Tell Me) - Train,Dilemma - Nelly featuring Kelly Rowland,Crazy in Love - Beyoncé featuring Jay-Z,This Love - Maroon 5,Since U Been Gone - Kelly Clarkson,You're Beautiful - James Blunt,Big Girls Don't Cry - Fergie,Lollipop - Lil Wayne featuring Static Major,I Gotta Feeling - The Black Eyed Peas,California Gurls - Katy Perry featuring Snoop Dogg,E.T. - Katy Perry featuring Kanye West,Payphone - Maroon 5 featuring Wiz Khalifa,Harlem Shake - Baauer,Fancy - Iggy Azalea featuring Charli XCX
Everything You Want - Vertical Horizon,I'm Real - Jennifer Lopez featuring Ja Rule,Wherever You Will Go - The Calling,When I'm Gone - 3 Doors Down,The Way You Move - Outkast featuring Sleepy Brown,1 2 Step - Ciara and Missy Elliott,Hips Don't Lie - Shakira featuring Wyclef Jean,Buy U a Drank (Shawty Snappin') - T-Pain featuring Yung Joc,Apologize - Timbaland featuring OneRepublic,Love Story - Taylor Swift,OMG - Usher featuring will.i.am,Give Me Everything - Pitbull featuring Ne-Yo Afrojack and Nayer,Lights - Ellie Goulding,Can't Hold Us - Macklemore and Ryan Lewis featuring Ray Dalton,Counting Stars - OneRepublic
Say My Name - Destiny's Child,If You're Gone - Matchbox Twenty,A Thousand Miles - Vanessa Carlton,Unwell - Matchbox Twenty,The Reason - Hoobastank,Gold Digger - Kanye West featuring Jamie Foxx,Unwritten - Natasha Bedingfield,Before He Cheats - Carrie Underwood,No Air - Jordin Sparks and Chris Brown,Right Round - Flo Rida,Airplanes - B.o.B featuring Hayley Williams,Grenade - Bruno Mars,Glad You Came - The Wanted,Mirrors - Justin Timberlake,Talk Dirty - Jason Derulo featuring 2 Chainz
I Knew I Loved You - Savage Garden,Let Me Blow Ya Mind - Eve featuring Gwen Stefani,In the End - Linkin Park,Right Thurr - Chingy,I Don't Wanna Know - Mario Winans featuring Enya and P. Diddy,Boulevard of Broken Dreams - Green Day,Crazy - Gnarls Barkley,Hey There Delilah - Plain White T's,Love Song - Sara Bareilles,I'm Yours - Jason Mraz,Love the Way You Lie - Eminem featuring Rihanna,Fuck You - Cee Lo Green,Stronger (What Doesn't Kill You) - Kelly Clarkson,Just Give Me a Reason - Pink featuring Nate Ruess,Rude - Magic!
Amazed - Lonestar,Thank You - Dido,What's Luv? - Fat Joe featuring Ashanti,Miss You - Aaliyah,Hey Ya! - Outkast,Candy Shop - 50 Cent featuring Olivia,Ridin' - Chamillionaire featuring Krayzie Bone,I Wanna Love You - Akon featuring Snoop Dogg,Love in This Club - Usher featuring Young Jeezy,Single Ladies (Put a Ring on It) - Beyoncé,Bad Romance - Lady Gaga,Super Bass - Nicki Minaj,We Found Love - Rihanna featuring Calvin Harris,When I Was Your Man - Bruno Mars,All About That Bass - Meghan Trainor
Bent - Matchbox Twenty,Again - Lenny Kravitz,U Got It Bad - Usher,Picture - Kid Rock featuring Sheryl Crow,Goodies - Ciara featuring Petey Pablo,Don't Cha - The Pussycat Dolls featuring Busta Rhymes,SexyBack - Justin Timberlake featuring Timbaland,Say It Right - Nelly Furtado,With You - Chris Brown,Heartless - Kanye West,Dynamite - Taio Cruz,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Starships - Nicki Minaj,Cruise - Florida Georgia Line featuring Nelly,Problem - Ariana Grande featuring Iggy Azalea
He Wasn't Man Enough - Toni Braxton,Independent Women - Destiny's Child,Blurry - Puddle of Mudd,Bring Me to Life - Evanescence featuring Paul McCoy,Lean Back - Terror Squad,Behind These Hazel Eyes - Kelly Clarkson,Check on It - Beyoncé featuring Slim Thug,Glamorous - Fergie featuring Ludacris,Forever - Chris Brown,Gives You Hell - The All-American Rejects,Break Your Heart - Taio Cruz featuring Ludacris,Just Can't Get Enough - The Black Eyed Peas,What Makes You Beautiful - One Direction,Roar - Katy Perry,Stay with Me - Sam Smith
